"*:»õºÅ","*:ÌõÐÎÂë","*:»õÆ·Ãû³Æ","*:¹æ¸ñ","*:ÉÌÆ·±àÂë","*:¿â´æ","*:¶³½á¿â´æ","*:ÔÚÍ¾¿â´æ","*:µ¥Î»","*:ÉÌÆ·ÀàÐÍ","*:Â¼ÈëÈÕÆÚ"
"5227001","5601082036823","á·Ëþ¿§·È¶¹",µÍ¿§·ÈÒò¶¹|1000G,"delta-COFFEE-BEANS",19,0,0,°ü,¿§·È¶¹/Beans,2018-10-12
"5010000","5601082034850","á·Ëþ¿§·È¶¹",×êÊ¯¶¹|1000G,"delta-COFFEE-BEANS",28,0,0,°ü,¿§·È¶¹/Beans,2018-10-12
"5014001","5601082034898","á·Ëþ¿§·È¶¹",°×½ð¶¹|1000G,"delta-COFFEE-BEANS",30,0,0,°ü,¿§·È¶¹/Beans,2018-10-12
"5017000","5601082034935","á·Ëþ¿§·È¶¹",¸çÂ×±ÈÑÇ¶¹|1000G,"delta-COFFEE-BEANS",15,0,0,°ü,¿§·È¶¹/Beans,2018-10-12
"5015002","5601082034904","á·Ëþ¿§·È¶¹",»Æ½ð¶¹|1000G,"delta-COFFEE-BEANS",43,0,0,°ü,¿§·È¶¹/Beans,2018-10-12
"5227000","5601082035000","á·Ëþ¿§·È¶¹",µÍ¿§·ÈÒò¶¹|500G,"delta-COFFEE-BEANS",20,0,0,°ü,¿§·È¶¹/Beans,2018-10-12
"5014030","5601082035031","á·Ëþ¿§·È¶¹",°×½ð¶¹|500G,"delta-COFFEE-BEANS",28,0,0,°ü,¿§·È¶¹/Beans,2018-10-12
"5015020","5601082036137","á·Ëþ¿§·È¶¹",»Æ½ð¶¹|500G,"delta-COFFEE-BEANS",53,0,0,°ü,¿§·È¶¹/Beans,2018-10-12
"5017052","5601082041728","á·ËþÑÐÄ¥¿§·È·Û",220G|¸çÂ×±ÈÑÇ,"COFFEE-UNIVERSAL-GROUND",81,4,0,°ü,¿§·È·Û/Powder,2018-10-12
"5016053","5601082041735","á·ËþÑÐÄ¥¿§·È·Û",220G|°²¸çÀ­,"COFFEE-UNIVERSAL-GROUND",45,3,0,°ü,¿§·È·Û/Powder,2018-10-12
"5023053","5601082041711","á·ËþÑÐÄ¥¿§·È·Û",220G|°ÍÎ÷,"COFFEE-UNIVERSAL-GROUND",74,2,0,°ü,¿§·È·Û/Powder,2018-10-12
"5024083","5601082041742","á·ËþÑÐÄ¥¿§·È·Û",220G|µÛãëµº,"COFFEE-UNIVERSAL-GROUND",57,0,0,°ü,¿§·È·Û/Powder,2018-10-12
"5066000","5601082040325","á·ËþÑÐÄ¥¿§·È·Û",220G|Ó¡¶È,"COFFEE-UNIVERSAL-GROUND",44,0,0,°ü,¿§·È·Û/Powder,2018-10-12
"5067000","5601082041803","á·ËþÑÐÄ¥¿§·È·Û",220G|Ô½ÄÏ,"COFFEE-UNIVERSAL-GROUND",53,0,0,°ü,¿§·È·Û/Powder,2018-10-12
"5015009","5601082041209","á·ËþÑÐÄ¥¿§·È·Û",250G|»Æ½ð,"COFFEE-UNIVERSAL-GROUND",76,1,0,°ü,¿§·È·Û/Powder,2018-10-12
"5227052","5601082035192","á·ËþÑÐÄ¥¿§·È·Û",250G|µÍ¿§·ÈÒò·Û,"COFFEE-UNIVERSAL-GROUND",47,2,0,°ü,¿§·È·Û/Powder,2018-10-12
"5028377","5601082040820","á·Ëþ½ºÄÒ×´ÑÐÄ¥¿§·È·Û",´óÁ¦Ê¿ÌØÅ¨10,"COFFEE-CAPSULES-BOX",224,19,0,°ü,¿§·È½ºÄÒ/CAPSULE,2018-10-12
"5028378","5601082040837","á·Ëþ½ºÄÒ×´ÑÐÄ¥¿§·È·Û",±ðÖÂ÷ÈÁ¦9,"COFFEE-CAPSULES-BOX",200,21,0,°ü,¿§·È½ºÄÒ/CAPSULE,2018-10-12
"5028379","5601082040844","á·Ëþ½ºÄÒ×´ÑÐÄ¥¿§·È·Û",ÄÜÁ¿¼¤»î8,"COFFEE-CAPSULES-BOX",168,19,0,°ü,¿§·È½ºÄÒ/CAPSULE,2018-10-12
"5028380","5601082040851","á·Ëþ½ºÄÒ×´ÑÐÄ¥¿§·È·Û",ÄÜÁ¿¼¤»î5,"COFFEE-CAPSULES-BOX",185,21,0,°ü,¿§·È½ºÄÒ/CAPSULE,2018-10-12
"5028381","5601082040868","á·Ëþ½ºÄÒ×´ÑÐÄ¥¿§·È·Û",ÏãÓóµ­ÑÅ3,"COFFEE-CAPSULES-BOX",236,19,0,°ü,¿§·È½ºÄÒ/CAPSULE,2018-10-12
"5228010","5601082040875","á·Ëþ½ºÄÒ×´ÑÐÄ¥¿§·È·Û",»¹Ô­±¾Õæ7,"COFFEE-CAPSULES-BOX",132,23,0,°ü,¿§·È½ºÄÒ/CAPSULE,2018-10-12
"5028388","5601082042688","á·Ëþ½ºÄÒ×´ÑÐÄ¥¿§·È·Û",ôä´ä7,"COFFEE-CAPSULES-BOX",144,0,0,°ü,¿§·È½ºÄÒ/CAPSULE,2018-10-12
