*:商品类型,*:品牌,*:商品编号,*:货号,*:货品名称,*:商品规格,*:销售单价,*:销售量,*:销售额,*:日均销售额,*:日均销售量,*:退货量,*:退货率,*:退货总额,*:平均成本,*:销售成本,*:销售平均毛利,*:销售毛利,*:销售毛利率
咖啡粉/Powder,delta,COFFEE-UNIVERSAL-GROUND,5017052,岱塔研磨咖啡粉,烘焙程度:中度烘焙,56,8,448.000,14.933,0.27,0,0%,0,39.43,315.440,16.57,132.56,30%
咖啡粉/Powder,delta,COFFEE-UNIVERSAL-GROUND,5016053,岱塔研磨咖啡粉,重量规格:220G;咖啡豆产地:安哥拉,56,6,336.000,11.2,0.2,0,0%,0,39.43,236.580,16.57,99.42,30%
咖啡胶囊/CAPSULE,DELTAQ,COFFEE-CAPSULES-BOX,5028380,岱塔胶囊状研磨咖啡粉,咖啡浓度:能量激活5,20.5,4,82.000,2.733,0.13,0,0%,0,26.34,105.360,-5.84,-23.36,-28%
咖啡胶囊/CAPSULE,DELTAQ,COFFEE-CAPSULES-BOX,5028388,岱塔胶囊状研磨咖啡粉,烘焙程度:中度烘焙,42,6,252.000,8.4,0.2,0,0%,0,26.34,158.040,15.66,93.96,37%
咖啡胶囊/CAPSULE,DELTAQ,COFFEE-CAPSULES-BOX,5028381,岱塔胶囊状研磨咖啡粉,,11.714285714286,7,82.000,2.733,0.23,0,0%,0,26.34,184.380,-14.63,-102.38,-125%
咖啡胶囊/CAPSULE,DELTAQ,COFFEE-CAPSULES-BOX,5228010,岱塔胶囊状研磨咖啡粉,,3.8333333333333,12,46.000,1.533,0.4,0,0%,0,26.34,316.080,-22.51,-270.08,-587%
咖啡胶囊/CAPSULE,DELTAQ,COFFEE-CAPSULES-BOX,5028379,岱塔胶囊状研磨咖啡粉,,26,12,312.000,10.4,0.4,0,0%,0,26.34,316.080,-0.34,-4.08,-1%
咖啡胶囊/CAPSULE,DELTAQ,COFFEE-CAPSULES-BOX,5028378,岱塔胶囊状研磨咖啡粉,,26,12,312.000,10.4,0.4,0,0%,0,26.34,316.080,-0.34,-4.08,-1%
咖啡胶囊/CAPSULE,DELTAQ,COFFEE-CAPSULES-BOX,5028377,岱塔胶囊状研磨咖啡粉,,30.444444444444,18,548.000,18.267,0.6,0,0%,0,26.34,474.120,4.1,73.88,13%
套装/KIT,DELTAQ,CAPS+MACH-MILKQOOL,12173,岱塔美咖啡机-(含50粒胶囊),颜色分类:黑色,1588.3333333333,3,4765.000,158.833,0.1,0,0%,0,1069.26,3207.780,519.07,1557.22,33%
